Date,Dividends
2000-03-13,1.612000
2000-08-14,0.150000
2001-03-14,0.285000
2001-08-22,0.190000
2002-03-20,0.290000
2002-08-26,0.205000
2003-03-19,0.325000
2003-08-20,0.240000
2003-11-26,0.120000
2004-03-17,0.240000
2004-05-19,0.130000
2004-08-18,0.130000
2004-11-24,0.130000
2005-03-16,2.104272
2005-05-18,1.087800
2005-08-17,1.085800
2005-11-23,1.085100
2006-03-22,2.403151
2006-05-17,1.292222
2006-08-16,1.296750
2006-11-23,1.298217
2007-03-21,0.360000
2007-05-16,0.170000
2007-08-15,0.170000
2007-11-21,0.170000
2008-03-19,0.390000
2008-05-21,0.180000
2008-08-20,0.180000
2008-11-19,0.180000
2009-03-18,0.100000
2009-05-20,0.080000
2009-08-19,0.080000
2009-11-18,0.080000
2009-11-19,0.080000
2010-03-17,0.100000
2010-05-19,0.080000
2010-08-18,0.080000
2010-11-17,0.088889
2011-03-16,0.120000
2011-05-18,0.100000
2011-08-17,0.779577
2011-11-23,0.776500
2012-03-14,1.086489
2012-05-16,0.698355
2012-08-15,0.697743
2012-10-24,0.697500
2013-03-20,1.397286
2013-05-22,0.775485
2013-08-21,0.775453
2013-10-23,0.775237
2014-03-12,1.473034
2014-05-21,0.775155
2014-08-20,0.776532
2014-10-23,0.775524
2015-03-05,1.550027
2015-05-21,0.775277
2015-08-13,0.774972
2015-10-22,0.774977
2016-03-03,1.628747
2016-05-19,0.775746
2016-08-11,0.775761
2016-10-20,0.775559
2017-02-23,1.631031
2017-05-18,0.779772
2017-08-03,0.781282
2017-10-12,0.779845
2018-02-22,1.647262
2018-05-17,0.784833
2018-08-16,0.784661
2018-10-11,0.782906
2019-02-21,1.647932
2019-05-16,0.781276
2019-08-15,0.781801
2019-10-10,0.783290
2020-02-27,0.210000
2021-03-11,1.165354
2021-08-19,0.545077
2022-03-10,0.180000
