Date,Open,High,Low,Close,Adj Close,Volume
2014-9-17,4.65864014,4.68174011,4.52421997,4.57334015,4.57334015,21056800
2014-9-18,4.56859985,4.56859985,4.13104004,4.24440002,4.24440002,34483200
2014-9-19,4.24102997,4.27834991,3.84532013,3.9479599,3.9479599,37919700
2014-9-20,3.94673004,4.2329599,3.89882996,4.08903992,4.08903992,36863600
2014-9-21,4.08084991,4.12425995,3.93181,3.98821014,3.98821014,26580100
2014-9-22,3.99100006,4.06915985,3.97130005,4.02152008,4.02152008,24127600
2014-9-23,4.0209201,4.41557007,3.96196991,4.35790985,4.35790985,45099500
2014-9-24,4.35751007,4.36112,4.21131989,4.23204987,4.23204987,30627700
2014-9-25,4.23156006,4.23519989,4.09467987,4.11574005,4.11574005,26814400
2014-9-26,4.11428986,4.14937988,4.00009003,4.04424988,4.04424988,21460800
2014-9-27,4.03556,4.06622986,3.97372009,3.99519989,3.99519989,15029300
2014-9-28,3.99471008,4.01016998,3.74332001,3.77181,3.77181,23613300
2014-9-29,3.76928009,3.85210999,3.7223999,3.7546701,3.7546701,32497700
2014-9-30,3.76088013,3.9097699,3.73442993,3.86944,3.86944,34707300
2014-10-1,3.87427002,3.91378998,3.80779999,3.8361499,3.8361499,26229400
2014-10-2,3.83988007,3.85497009,3.72946014,3.75071991,3.75071991,21777700
2014-10-3,3.75181,3.77695007,3.57859009,3.59511993,3.59511993,30901200
2014-10-4,3.59891998,3.64487,3.25885986,3.28865997,3.28865997,47236500
2014-10-5,3.28915985,3.41800995,2.8929599,3.2051001,3.2051001,83308096
2014-10-6,3.20389008,3.45134003,3.02559998,3.3007901,3.3007901,79011800
2014-10-7,3.30584015,3.39247009,3.20481995,3.36187012,3.36187012,49199900
2014-10-8,3.36115997,3.54364014,3.27187988,3.52940002,3.52940002,54736300
2014-10-9,3.52747986,3.82726013,3.47687012,3.65026001,3.65026001,83641104
2014-10-10,3.64687012,3.75066986,3.52963013,3.61562012,3.61562012,43665700
2014-10-11,3.61362,3.6719101,3.55950989,3.62299011,3.62299011,13345200
2014-10-12,3.62605988,3.79433014,3.56144012,3.78549011,3.78549011,17552800
2014-10-13,3.7792099,3.97226013,3.68897003,3.90414001,3.90414001,35221400
2014-10-14,3.91691986,4.11697998,3.91324005,4.00869995,4.00869995,38491500
2014-10-15,4.00954987,4.0222699,3.88765991,3.9477301,3.9477301,25267100
2014-10-16,3.94518005,3.98807007,3.73070007,3.82556,3.82556,26990000
2014-10-17,3.82756012,3.85477997,3.75389008,3.83757996,3.83757996,13600700
2014-10-18,3.83976013,3.9515799,3.78971008,3.91441986,3.91441986,11416800
2014-10-19,3.91253998,3.93938995,3.86457001,3.8954599,3.8954599,5914570
2014-10-20,3.89230988,3.90084015,3.78252014,3.82845001,3.82845001,16419000
2014-10-21,3.8242099,3.92645996,3.80834015,3.86475006,3.86475006,14188900
2014-10-22,3.86118011,3.88575989,3.82248993,3.8315799,3.8315799,11641300
