Date,Open,High,Low,Close,Adj Close,Volume
2000-05-26,59.609375,59.609375,59.312500,59.312500,35.384003,2900
2000-05-30,59.906250,60.218750,59.906250,60.218750,35.924633,1800
2000-05-31,60.187500,60.796875,60.187500,60.671875,36.194965,12200
2000-06-01,60.781250,61.421875,60.687500,61.421875,36.642384,25400
2000-06-02,62.468750,62.593750,62.281250,62.281250,37.155045,10000
2000-06-05,62.343750,62.343750,61.921875,62.000000,36.987267,15500
2000-06-06,61.859375,61.921875,61.859375,61.921875,36.940681,4100
2000-06-07,61.703125,62.078125,61.703125,62.000000,36.987267,4800
2000-06-08,61.875000,61.875000,61.312500,61.437500,36.651703,16000
2000-06-09,61.796875,61.796875,61.156250,61.156250,36.483917,7100
2000-06-12,61.562500,61.562500,61.484375,61.500000,36.688976,1800
2000-06-13,61.218750,61.218750,61.046875,61.046875,36.418671,4300
2000-06-14,61.687500,61.984375,61.687500,61.796875,36.866089,4500
2000-06-15,61.593750,61.593750,60.890625,61.078125,36.437309,5000
2000-06-16,61.578125,61.625000,59.953125,60.046875,35.822090,25400
2000-06-19,60.250000,60.593750,60.125000,60.500000,36.092411,12300
2000-06-20,60.375000,60.375000,59.875000,60.156250,35.887337,40900
2000-06-21,59.906250,59.953125,59.656250,59.781250,35.706356,5800
2000-06-22,59.828125,59.828125,59.187500,59.343750,35.445057,4900
2000-06-23,59.609375,59.609375,59.015625,59.015625,35.249077,20100
2000-06-26,59.531250,59.531250,59.156250,59.406250,35.482384,11900
2000-06-27,59.656250,59.656250,59.312500,59.312500,35.426384,13800
2000-06-28,59.531250,59.859375,59.171875,59.296875,35.417057,12200
2000-06-29,59.000000,59.156250,58.734375,58.734375,35.081100,11000
2000-06-30,59.000000,59.062500,58.500000,58.515625,34.950432,27000
2000-07-03,58.375000,59.140625,58.375000,59.140625,35.323742,2500
2000-07-05,59.375000,59.625000,59.046875,59.046875,35.267735,6100
2000-07-06,59.328125,59.421875,58.984375,59.156250,35.333069,5300
2000-07-07,59.468750,60.140625,59.468750,60.031250,35.855701,28100
2000-07-10,60.296875,60.328125,60.078125,60.078125,35.883671,22900
2000-07-11,60.156250,60.765625,60.156250,60.562500,36.172997,8400
2000-07-12,61.062500,61.093750,60.687500,60.687500,36.247669,29600
2000-07-13,60.921875,61.109375,60.890625,60.953125,36.406311,3800
2000-07-14,61.218750,61.218750,61.125000,61.156250,36.527645,3000
2000-07-17,60.875000,60.906250,60.406250,60.406250,36.079670,38800
2000-07-18,60.375000,60.375000,60.250000,60.312500,36.023678,19800
2000-07-19,60.515625,60.687500,60.250000,60.250000,35.986340,29100
2000-07-20,60.468750,60.750000,60.468750,60.500000,36.135654,3300
2000-07-21,60.625000,60.703125,60.078125,60.078125,35.883671,28900
2000-07-24,60.203125,60.203125,59.750000,59.750000,35.687702,2300
2000-07-25,60.187500,60.328125,59.921875,59.921875,35.790348,46500
2000-07-26,60.125000,60.125000,59.437500,59.437500,35.501057,26500
2000-07-27,59.812500,60.046875,59.390625,59.750000,35.687702,58100
2000-07-28,59.703125,59.703125,58.718750,58.718750,35.071758,7800
2000-07-31,59.187500,59.593750,59.093750,59.296875,35.417057,30200
2000-08-01,59.375000,59.984375,59.375000,59.718750,35.669044,47800
2000-08-02,59.953125,60.437500,59.953125,60.437500,36.098335,31700
2000-08-03,60.406250,60.921875,60.406250,60.671875,36.238331,102300
2000-08-04,61.062500,61.406250,60.937500,61.406250,36.676960,5200
2000-08-07,61.421875,62.031250,61.421875,62.000000,37.031582,21100
2000-08-08,61.796875,62.078125,61.640625,62.000000,37.031582,53400
2000-08-09,61.968750,61.968750,61.328125,61.687500,36.844952,63500
2000-08-10,61.828125,61.828125,61.578125,61.578125,36.779617,8100
2000-08-11,61.765625,62.296875,61.703125,62.078125,37.078266,6800
2000-08-14,62.218750,62.906250,62.109375,62.875000,37.554218,54000
2000-08-15,62.750000,62.750000,62.390625,62.546875,37.358227,43000
2000-08-16,62.562500,62.562500,62.140625,62.250000,37.180908,8100
2000-08-17,62.578125,62.859375,62.578125,62.859375,37.544884,400
2000-08-18,62.718750,62.718750,62.296875,62.609375,37.395569,34200
2000-08-21,62.687500,62.812500,62.500000,62.812500,37.516895,29500
2000-08-22,62.890625,63.062500,62.890625,63.000000,37.628876,3900
2000-08-23,62.796875,62.906250,62.687500,62.906250,37.572895,26000
2000-08-24,62.812500,62.812500,62.484375,62.562500,37.367561,2500
2000-08-25,62.781250,62.781250,62.609375,62.718750,37.460892,21100
2000-08-28,62.656250,63.328125,62.656250,63.109375,37.694206,22100
2000-08-29,62.750000,62.953125,62.656250,62.750000,37.479553,25800
2000-08-30,62.843750,62.843750,62.546875,62.640625,37.414230,39100
2000-08-31,63.062500,63.593750,63.062500,63.109375,37.694206,126300
2000-09-01,63.375000,63.484375,63.375000,63.406250,37.871529,90700
2000-09-05,63.359375,63.593750,63.312500,63.531250,37.946182,8400
2000-09-06,63.843750,63.875000,63.703125,63.703125,38.048824,57600
2000-09-07,63.796875,63.796875,63.500000,63.500000,37.927513,10800
2000-09-08,63.500000,63.750000,63.375000,63.750000,38.076843,5700
2000-09-11,63.859375,64.515625,63.859375,64.375000,38.450146,26500
2000-09-12,64.375000,64.375000,64.093750,64.203125,38.347481,900
2000-09-13,63.859375,64.125000,63.718750,63.812500,38.114166,57300
2000-09-14,63.906250,63.906250,63.453125,63.640625,38.011524,75100
2000-09-15,63.734375,63.781250,63.000000,63.000000,37.628876,37000
2000-09-18,63.218750,63.218750,62.203125,62.203125,37.152912,20000
2000-09-19,62.453125,62.453125,62.140625,62.187500,37.143585,28200
2000-09-20,61.796875,61.796875,60.859375,61.187500,36.660679,6200
2000-09-21,60.984375,61.078125,60.671875,60.843750,36.454700,8000
2000-09-22,61.000000,61.750000,61.000000,61.750000,36.997677,33100
2000-09-25,61.796875,62.015625,61.718750,61.843750,37.053864,9200
2000-09-26,62.031250,62.031250,61.531250,61.531250,36.866638,4300
2000-09-27,61.859375,61.859375,61.546875,61.781250,37.016399,10600
2000-09-28,62.171875,63.437500,62.171875,63.390625,37.980671,9800
2000-09-29,63.125000,63.562500,62.953125,63.093750,37.802792,9100
2000-10-02,63.031250,63.421875,62.562500,63.421875,37.999405,15500
2000-10-03,63.406250,64.031250,63.390625,63.578125,38.093021,55000
2000-10-04,63.375000,63.765625,63.234375,63.234375,37.887043,8700
2000-10-05,63.296875,63.390625,63.250000,63.359375,37.961941,25900
2000-10-06,62.796875,62.796875,61.781250,61.984375,37.138115,9400
2000-10-09,62.125000,62.125000,61.750000,61.984375,37.138115,7700
2000-10-10,61.750000,61.812500,61.484375,61.515625,36.857273,16700
2000-10-11,61.000000,61.265625,60.328125,60.687500,36.361103,47100
2000-10-12,60.312500,60.312500,59.078125,59.250000,35.499813,114100
2000-10-13,59.156250,60.312500,59.156250,60.093750,36.005348,178100
2000-10-16,60.125000,60.406250,60.125000,60.218750,36.080238,176100
2000-10-17,60.625000,60.625000,59.093750,59.750000,35.799374,186700
2000-10-18,58.500000,59.781250,58.250000,59.125000,35.424915,214600
2000-10-19,59.875000,60.750000,59.875000,60.375000,36.173862,182200
2000-10-20,60.562500,61.156250,60.562500,61.125000,36.623211,26800
2000-10-23,61.000000,61.437500,60.843750,61.437500,36.810463,23000
2000-10-24,61.625000,62.125000,61.500000,61.750000,36.997677,10800
2000-10-25,61.375000,61.734375,60.562500,60.562500,36.286194,30300
2000-10-26,61.125000,61.187500,60.250000,60.593750,36.304924,18400
2000-10-27,60.625000,61.468750,60.625000,61.437500,36.810463,18100
2000-10-30,62.156250,63.687500,62.156250,63.687500,38.158558,44000
2000-10-31,63.750000,64.281250,63.437500,64.218750,38.476852,33700
2000-11-01,64.000000,64.093750,63.468750,64.093750,38.401962,63900
2000-11-02,63.968750,64.000000,63.625000,63.656250,38.139816,9500
2000-11-03,63.625000,63.750000,63.375000,63.718750,38.177280,58900
2000-11-06,63.750000,64.156250,63.625000,64.125000,38.420685,53500
2000-11-07,64.062500,64.062500,63.765625,64.031250,38.364494,29700
2000-11-08,64.125000,64.125000,63.375000,63.375000,37.971310,41400
2000-11-09,63.500000,63.718750,62.656250,63.312500,37.933872,116100
2000-11-10,63.343750,63.406250,62.750000,62.750000,37.596848,6200
2000-11-13,62.125000,62.562500,61.625000,62.125000,37.222385,131000
2000-11-14,62.500000,63.000000,62.500000,62.750000,37.596848,13100
2000-11-15,62.750000,62.843750,62.406250,62.625000,37.521942,15500
2000-11-16,62.687500,62.875000,62.343750,62.343750,37.353416,114100
2000-11-17,62.437500,62.625000,61.812500,61.953125,37.119404,490200
2000-11-20,61.875000,61.875000,61.000000,61.000000,36.548317,58100
2000-11-21,61.187500,61.406250,60.718750,61.390625,36.782368,30100
2000-11-22,61.000000,61.031250,60.500000,60.562500,36.286194,26500
2000-11-24,60.812500,61.218750,60.812500,61.000000,36.548317,5200
2000-11-27,61.437500,61.531250,61.218750,61.531250,36.866638,12100
2000-11-28,61.187500,61.625000,61.187500,61.187500,36.660679,23400
2000-11-29,61.500000,61.750000,61.375000,61.625000,36.922810,33500
2000-11-30,61.437500,61.437500,60.000000,60.562500,36.286194,18300
2000-12-01,61.125000,61.531250,60.906250,61.031250,36.567043,53100
2000-12-04,61.000000,61.500000,61.000000,61.468750,36.829185,5600
2000-12-05,61.750000,62.718750,61.687500,62.718750,37.578121,93000
2000-12-06,62.750000,62.875000,61.750000,61.750000,36.997677,23200
2000-12-07,62.062500,62.250000,61.843750,61.906250,37.091305,12300
2000-12-08,62.375000,63.000000,62.000000,62.000000,37.147472,66900
2000-12-11,62.562500,63.000000,62.375000,62.875000,37.671738,110500
2000-12-12,62.625000,63.062500,62.625000,62.937500,37.709179,41600
2000-12-13,63.062500,63.062500,62.343750,62.343750,37.550911,74200
2000-12-14,61.812500,61.906250,61.375000,61.375000,36.967419,52000
2000-12-15,61.406250,61.406250,60.875000,60.875000,36.666260,17400
2000-12-18,61.625000,62.375000,61.562500,62.156250,37.437992,21200
2000-12-19,62.125000,62.718750,61.468750,61.468750,37.023899,238300
2000-12-20,60.750000,61.156250,60.328125,60.500000,36.440388,75400
2000-12-21,60.625000,61.156250,60.312500,61.031250,36.760376,138500
2000-12-22,61.375000,61.843750,61.375000,61.843750,37.249767,49400
2000-12-26,62.312500,63.078125,62.312500,63.078125,37.993252,40000
2000-12-27,63.062500,63.875000,63.000000,63.625000,38.322655,323900
2000-12-28,63.750000,64.250000,63.625000,64.250000,38.699093,168000
2000-12-29,64.375000,64.375000,63.375000,63.375000,38.172070,509700
2001-01-02,63.484375,63.781250,62.609375,62.609375,37.710915,136400
2001-01-03,63.062500,66.031250,62.515625,65.187500,39.263779,102800
2001-01-04,65.250000,65.718750,64.953125,65.187500,39.263779,80700
2001-01-05,65.281250,65.281250,63.609375,63.703125,38.369698,71800
2001-01-08,63.500000,63.671875,63.000000,63.531250,38.266174,36700
2001-01-09,63.750000,63.906250,63.328125,63.625000,38.322655,34300
2001-01-10,63.250000,64.265625,63.250000,64.218750,38.680279,27300
2001-01-11,64.437500,64.781250,64.375000,64.562500,38.887302,86100
2001-01-12,64.437500,64.500000,63.875000,64.265625,38.708519,236500
2001-01-16,64.187500,64.625000,64.062500,64.468750,38.830875,21500
2001-01-17,65.312500,65.359375,64.656250,64.937500,39.113182,53800
2001-01-18,64.687500,65.281250,64.312500,65.187500,39.263779,25400
2001-01-19,65.187500,65.187500,64.500000,64.750000,39.000259,127400
2001-01-22,64.562500,65.109375,64.250000,64.812500,39.037907,35400
2001-01-23,64.500000,65.437500,64.500000,65.296875,39.329643,39300
2001-01-24,65.187500,65.781250,65.187500,65.484375,39.442600,28800
2001-01-25,65.187500,65.625000,65.125000,65.500000,39.452019,51600
2001-01-26,65.250000,65.343750,64.656250,65.062500,39.188488,25600
2001-01-29,65.300003,66.010002,65.300003,65.699997,39.572460,84300
2001-01-30,65.900002,66.580002,65.500000,66.580002,40.102516,25100
2001-01-31,66.580002,67.000000,66.239998,66.260002,39.909752,54700
2001-02-01,66.400002,66.779999,66.050003,66.779999,40.222965,41000
2001-02-02,66.720001,66.800003,65.660004,65.660004,39.548367,20500
2001-02-05,65.800003,66.160004,65.779999,66.080002,39.801357,19200
2001-02-06,65.980003,66.360001,65.949997,65.970001,39.735081,59000
2001-02-07,65.949997,65.980003,65.370003,65.550003,39.482113,29500
2001-02-08,65.779999,66.019997,65.480003,65.480003,39.439949,13900
2001-02-09,65.500000,65.589996,64.860001,65.050003,39.180969,440700
2001-02-12,65.250000,65.760002,65.080002,65.660004,39.548367,523300
2001-02-13,65.660004,65.809998,65.300003,65.330002,39.349602,429000
2001-02-14,65.400002,65.400002,64.559998,64.559998,38.885818,43900
2001-02-15,65.040001,65.349998,64.970001,65.220001,39.283333,24700
2001-02-16,64.260002,64.510002,64.050003,64.239998,38.693069,46600
2001-02-20,64.290001,64.290001,63.250000,63.250000,38.096771,17500
2001-02-21,63.250000,63.419998,61.860001,61.860001,37.259544,146500
2001-02-22,62.200001,62.419998,61.099998,62.220001,37.476398,20100
2001-02-23,62.020000,62.020000,60.439999,61.610001,37.108963,51100
2001-02-26,62.009998,62.939999,61.779999,62.919998,37.898014,60600
2001-02-27,62.970001,63.349998,62.570000,62.779999,37.813690,32600
2001-02-28,63.070000,63.119999,61.500000,61.880001,37.271591,18100
2001-03-01,61.680000,61.869999,60.930000,61.689999,37.157150,28200
2001-03-02,61.450001,62.860001,61.279999,62.349998,37.554688,54200
2001-03-05,62.419998,62.680000,62.369999,62.610001,37.711277,23600
2001-03-06,63.169998,63.750000,63.169998,63.259998,38.102798,57400
2001-03-07,63.570000,63.950001,63.419998,63.950001,38.518398,82900
