Date,Open,High,Low,Close,Adj Close,Volume
2010-02-11,515008.000000,520000.000000,488384.000000,492672.000000,468802.312500,8
2010-02-12,507328.000000,507712.000000,486080.000000,488576.000000,464904.750000,8
2010-02-16,477952.000000,485952.000000,469760.000000,471232.000000,448401.062500,7
2010-02-17,464960.000000,471936.000000,462656.000000,464000.000000,441519.406250,7
2010-02-18,463424.000000,465600.000000,451520.000000,452864.000000,430922.937500,7
2010-02-19,456960.000000,460672.000000,448000.000000,454080.000000,432080.031250,7
2010-02-22,449152.000000,461952.000000,448832.000000,456896.000000,434759.656250,5
2010-02-23,457856.000000,480256.000000,457792.000000,475264.000000,452237.750000,8
2010-02-24,467072.000000,469184.000000,454784.000000,460416.000000,438109.062500,10
2010-02-25,474944.000000,483840.000000,457216.000000,457216.000000,435064.125000,9
2010-02-26,460800.000000,465216.000000,453184.000000,454720.000000,432689.062500,7
2010-03-01,449408.000000,449728.000000,433280.000000,434688.000000,413627.625000,9
2010-03-02,430720.000000,433984.000000,423552.000000,431360.000000,410460.875000,3
2010-03-03,429824.000000,434624.000000,424000.000000,431360.000000,410460.875000,4
2010-03-04,428992.000000,434944.000000,424448.000000,425984.000000,405345.312500,7
2010-03-05,415360.000000,418176.000000,404992.000000,407104.000000,387380.093750,9
2010-03-08,404416.000000,405184.000000,401280.000000,403776.000000,384213.312500,4
2010-03-09,407296.000000,407296.000000,390400.000000,396800.000000,377575.281250,13
2010-03-10,393280.000000,393984.000000,384704.000000,387264.000000,368501.343750,9
2010-03-11,389632.000000,391680.000000,383232.000000,383488.000000,364908.218750,10
2010-03-12,378624.000000,386496.000000,378624.000000,382912.000000,364360.125000,8
2010-03-15,385536.000000,392896.000000,382592.000000,385216.000000,366552.531250,9
2010-03-16,381824.000000,384960.000000,376448.000000,377792.000000,359488.218750,8
2010-03-17,376512.000000,377600.000000,369728.000000,376000.000000,357783.062500,11
2010-03-18,373824.000000,376320.000000,369984.000000,371520.000000,353520.062500,9
2010-03-19,378240.000000,381504.000000,367232.000000,378240.000000,359914.500000,14
2010-03-22,381760.000000,383360.000000,362944.000000,367616.000000,349805.156250,23
