,SPY,
1/1/2010,
2/1/2010,
3/1/2010,
4/1/2010,$213.12,
5/1/2010,$279.72,
6/1/2010,$297.48,
7/1/2010,$404.04,
8/1/2010,$488.40,
9/1/2010,$488.40,
10/1/2010,$488.40,
11/1/2010,$523.92,
12/1/2010,$286.38,
13/1/2010,$499.50,
14/1/2010,$568.32,
15/1/2010,$281.94,
16/1/2010,$281.94,
17/1/2010,$281.94,
18/1/2010,$281.94,
19/1/2010,$597.18,
20/1/2010,$337.44,
21/1/2010,-$148.74,
22/1/2010,-$259.74,
23/1/2010,-$259.74,
24/1/2010,-$259.74,
25/1/2010,-$259.74,
26/1/2010,-$259.74,
27/1/2010,-$259.74,
28/1/2010,-$259.74,
29/1/2010,-$259.74,
30/1/2010,-$259.74,
31/1/2010,-$259.74,
1/2/2010,-$259.74,
2/2/2010,-$259.74,
3/2/2010,-$259.74,
4/2/2010,-$259.74,
5/2/2010,-$259.74,
6/2/2010,-$259.74,
7/2/2010,-$259.74,
8/2/2010,-$259.74,
9/2/2010,-$259.74,
10/2/2010,-$259.74,
11/2/2010,-$259.74,
12/2/2010,-$259.74,
13/2/2010,-$259.74,
14/2/2010,-$259.74,
15/2/2010,-$259.74,
16/2/2010,-$259.74,
17/2/2010,-$259.74,
18/2/2010,-$259.74,
19/2/2010,-$144.30,
20/2/2010,-$144.30,
21/2/2010,-$144.30,
22/2/2010,-$139.86,
23/2/2010,-$206.46,
24/2/2010,-$206.46,
25/2/2010,-$206.46,
26/2/2010,-$206.46,
27/2/2010,-$206.46,
28/2/2010,-$206.46,
1/3/2010,-$53.97,
2/3/2010,$14.54,
3/3/2010,$36.64,
4/3/2010,$111.78,
5/3/2010,$467.59,
6/3/2010,$467.59,
7/3/2010,$467.59,
8/3/2010,$472.01,
9/3/2010,$514.00,
10/3/2010,$626.71,
11/3/2010,$732.79,
12/3/2010,$735.00,
13/3/2010,$735.00,
14/3/2010,$735.00,
15/3/2010,$741.63,
16/3/2010,$944.95,
17/3/2010,$1097.44,
18/3/2010,$1084.18,
19/3/2010,$847.71,
20/3/2010,$847.71,
21/3/2010,$847.71,
22/3/2010,$984.73,
23/3/2010,$1165.95,
24/3/2010,$1039.98,
25/3/2010,$997.99,
26/3/2010,$982.52,
27/3/2010,$982.52,
28/3/2010,$982.52,
29/3/2010,$1146.06,
30/3/2010,$1163.74,
31/3/2010,$1075.34,
1/4/2010,$1252.14,
2/4/2010,$1252.14,
3/4/2010,$1252.14,
4/4/2010,$1252.14,
5/4/2010,$1464.30,
6/4/2010,$1526.18,
7/4/2010,$1375.90,
8/4/2010,$1466.51,
9/4/2010,$1638.89,
10/4/2010,$1638.89,
11/4/2010,$1638.89,
12/4/2010,$1680.88,
13/4/2010,$1700.77,
14/4/2010,$2001.33,
15/4/2010,$2023.43,
16/4/2010,$1596.90,
17/4/2010,$1596.90,
18/4/2010,$1596.90,
19/4/2010,$1696.35,
20/4/2010,$1932.82,
21/4/2010,$1884.20,
22/4/2010,$1963.76,
23/4/2010,$2138.35,
24/4/2010,$2138.35,
25/4/2010,$2138.35,
26/4/2010,$2036.69,
27/4/2010,$1402.42,
28/4/2010,$1601.32,
29/4/2010,$1928.40,
30/4/2010,$1475.35,
1/5/2010,$1475.35,
2/5/2010,$1475.35,
3/5/2010,$1815.69,
4/5/2010,$1190.26,
5/5/2010,$978.10,
6/5/2010,$978.10,
7/5/2010,$978.10,
8/5/2010,$978.10,
9/5/2010,$978.10,
10/5/2010,$978.10,
11/5/2010,$978.10,
12/5/2010,$978.10,
13/5/2010,$978.10,
14/5/2010,$978.10,
15/5/2010,$978.10,
16/5/2010,$978.10,
17/5/2010,$978.10,
18/5/2010,$978.10,
19/5/2010,$978.10,
20/5/2010,$978.10,
21/5/2010,$978.10,
22/5/2010,$978.10,
23/5/2010,$978.10,
24/5/2010,$978.10,
25/5/2010,$978.10,
26/5/2010,$978.10,
27/5/2010,$978.10,
28/5/2010,$978.10,
29/5/2010,$978.10,
30/5/2010,$978.10,
31/5/2010,$978.10,
1/6/2010,$978.10,
2/6/2010,$978.10,
3/6/2010,$978.10,
4/6/2010,$978.10,
5/6/2010,$978.10,
6/6/2010,$978.10,
7/6/2010,$978.10,
8/6/2010,$978.10,
9/6/2010,$978.10,
10/6/2010,$978.10,
11/6/2010,$978.10,
12/6/2010,$978.10,
13/6/2010,$978.10,
14/6/2010,$978.10,
15/6/2010,$978.10,
16/6/2010,$978.10,
17/6/2010,$978.10,
18/6/2010,$978.10,
19/6/2010,$978.10,
20/6/2010,$978.10,
21/6/2010,$978.10,
22/6/2010,$978.10,
23/6/2010,$978.10,
24/6/2010,$978.10,
25/6/2010,$978.10,
26/6/2010,$978.10,
27/6/2010,$978.10,
28/6/2010,$978.10,
29/6/2010,$978.10,
30/6/2010,$978.10,
1/7/2010,$978.10,
2/7/2010,$978.10,
3/7/2010,$978.10,
4/7/2010,$978.10,
5/7/2010,$978.10,
6/7/2010,$978.10,
7/7/2010,$978.10,
8/7/2010,$978.10,
9/7/2010,$978.10,
10/7/2010,$978.10,
11/7/2010,$978.10,
12/7/2010,$978.10,
13/7/2010,$978.10,
14/7/2010,$1058.34,
15/7/2010,$1065.42,
16/7/2010,$926.18,
17/7/2010,$926.18,
18/7/2010,$926.18,
19/7/2010,$926.18,
20/7/2010,$926.18,
21/7/2010,$926.18,
22/7/2010,$1184.90,
23/7/2010,$1404.35,
24/7/2010,$1404.35,
25/7/2010,$1404.35,
26/7/2010,$1670.00,
27/7/2010,$1667.69,
28/7/2010,$1501.37,
29/7/2010,$1376.63,
30/7/2010,$1372.01,
31/7/2010,$1372.01,
1/8/2010,$1372.01,
2/8/2010,$1947.20,
3/8/2010,$1822.46,
4/8/2010,$1995.71,
5/8/2010,$1967.99,
6/8/2010,$1861.73,
7/8/2010,$1861.73,
8/8/2010,$1861.73,
9/8/2010,$2000.33,
10/8/2010,$1859.42,
11/8/2010,$1147.94,
12/8/2010,$766.79,
13/8/2010,$766.79,
14/8/2010,$766.79,
15/8/2010,$766.79,
16/8/2010,$766.79,
17/8/2010,$857.99,
18/8/2010,$903.59,
19/8/2010,$773.63,
20/8/2010,$773.63,
21/8/2010,$773.63,
22/8/2010,$773.63,
23/8/2010,$773.63,
24/8/2010,$773.63,
25/8/2010,$773.63,
26/8/2010,$773.63,
27/8/2010,$773.63,
28/8/2010,$773.63,
29/8/2010,$773.63,
30/8/2010,$773.63,
31/8/2010,$773.63,
1/9/2010,$1166.34,
2/9/2010,$1395.61,
3/9/2010,$1717.95,
4/9/2010,$1717.95,
5/9/2010,$1717.95,
6/9/2010,$1717.95,
7/9/2010,$1434.20,
8/9/2010,$1608.99,
9/9/2010,$1724.76,
10/9/2010,$1851.88,
11/9/2010,$1851.88,
12/9/2010,$1851.88,
13/9/2010,$2133.36,
14/9/2010,$2117.47,
15/9/2010,$2215.08,
16/9/2010,$2208.27,
17/9/2010,$2081.15,
18/9/2010,$2081.15,
19/9/2010,$2081.15,
20/9/2010,$2471.59,
21/9/2010,$2419.38,
22/9/2010,$2292.26,
23/9/2010,$2083.42,
24/9/2010,$2610.06,
25/9/2010,$2610.06,
26/9/2010,$2610.06,
27/9/2010,$2485.21,
28/9/2010,$2576.01,
29/9/2010,$2530.61,
30/9/2010,$2453.43,
1/10/2010,$2562.39,
2/10/2010,$2562.39,
3/10/2010,$2562.39,
4/10/2010,$2367.17,
5/10/2010,$2887.00,
6/10/2010,$2884.73,
7/10/2010,$2852.95,
8/10/2010,$3000.50,
9/10/2010,$3000.50,
10/10/2010,$3000.50,
11/10/2010,$3025.47,
12/10/2010,$3107.19,
13/10/2010,$3313.76,
14/10/2010,$3209.34,
15/10/2010,$3263.82,
16/10/2010,$3263.82,
17/10/2010,$3263.82,
18/10/2010,$3395.48,
19/10/2010,$3043.63,
20/10/2010,$3302.41,
21/10/2010,$3361.43,
22/10/2010,$3411.37,
23/10/2010,$3411.37,
24/10/2010,$3411.37,
25/10/2010,$3490.82,
26/10/2010,$3495.36,
27/10/2010,$3418.18,
28/10/2010,$3422.72,
29/10/2010,$3443.15,
30/10/2010,$3443.15,
31/10/2010,$3443.15,
1/11/2010,$3452.23,
2/11/2010,$3665.61,
3/11/2010,$3774.57,
4/11/2010,$4298.94,
5/11/2010,$4403.36,
6/11/2010,$4403.36,
7/11/2010,$4403.36,
8/11/2010,$4351.15,
9/11/2010,$4151.39,
10/11/2010,$4262.62,
11/11/2010,$4158.20,
12/11/2010,$3831.32,
13/11/2010,$3831.32,
14/11/2010,$3831.32,
15/11/2010,$3792.73,
16/11/2010,$3368.24,
17/11/2010,$3381.86,
18/11/2010,$3776.84,
19/11/2010,$3851.75,
20/11/2010,$3851.75,
21/11/2010,$3851.75,
22/11/2010,$3829.05,
23/11/2010,$3434.07,
24/11/2010,$3831.32,
25/11/2010,$3831.32,
26/11/2010,$3513.52,
27/11/2010,$3513.52,
28/11/2010,$3513.52,
29/11/2010,$3595.24,
30/11/2010,$3443.15,
1/12/2010,$4015.19,
2/12/2010,$4367.04,
3/12/2010,$4441.95,
4/12/2010,$4441.95,
5/12/2010,$4441.95,
6/12/2010,$4412.44,
7/12/2010,$4428.33,
8/12/2010,$4530.48,
9/12/2010,$4639.44,
10/12/2010,$4802.88,
11/12/2010,$4802.88,
12/12/2010,$4802.88,
13/12/2010,$4821.04,
14/12/2010,$4846.01,
15/12/2010,$4716.62,
16/12/2010,$4880.06,
17/12/2010,$4762.02,
18/12/2010,$4762.02,
19/12/2010,$4762.02,
20/12/2010,$4830.12,
21/12/2010,$5009.45,
22/12/2010,$5097.98,
23/12/2010,$5057.12,
24/12/2010,$5057.12,
25/12/2010,$5057.12,
26/12/2010,$5057.12,
27/12/2010,$5068.47,
28/12/2010,$5109.33,
29/12/2010,$5129.76,
30/12/2010,$5084.36,
31/12/2010,$5091.17,
1/1/2011,$5091.17,
2/1/2011,$5091.17,
3/1/2011,$5386.27,
4/1/2011,$5370.38,
5/1/2011,$5520.20,
6/1/2011,$5463.45,
7/1/2011,$5406.70,
8/1/2011,$5406.70,
9/1/2011,$5406.70,
10/1/2011,$5370.38,
11/1/2011,$5472.53,
12/1/2011,$5733.58,
13/1/2011,$5685.91,
14/1/2011,$5897.02,
15/1/2011,$5897.02,
16/1/2011,$5897.02,
17/1/2011,$5897.02,
18/1/2011,$5946.96,
19/1/2011,$5658.67,
20/1/2011,$5620.08,
21/1/2011,$5685.91,
22/1/2011,$5685.91,
23/1/2011,$5685.91,
24/1/2011,$5851.62,
25/1/2011,$5867.51,
26/1/2011,$5981.01,
27/1/2011,$6053.65,
28/1/2011,$5538.36,
29/1/2011,$5538.36,
30/1/2011,$5538.36,
31/1/2011,$5756.28,
1/2/2011,$6223.90,
2/2/2011,$6167.15,
3/2/2011,$6232.98,
4/2/2011,$6316.97,
5/2/2011,$6316.97,
6/2/2011,$6316.97,
7/2/2011,$6503.11,
8/2/2011,$6639.31,
9/2/2011,$6571.21,
10/2/2011,$6582.56,
11/2/2011,$6761.89,
12/2/2011,$6761.89,
13/2/2011,$6761.89,
14/2/2011,$6834.53,
15/2/2011,$6739.19,
16/2/2011,$6929.87,
17/2/2011,$7020.67,
18/2/2011,$7084.23,
19/2/2011,$7084.23,
20/2/2011,$7084.23,
21/2/2011,$7084.23,
22/2/2011,$6471.33,
23/2/2011,$6287.46,
24/2/2011,$6267.03,
25/2/2011,$6584.83,
26/2/2011,$6584.83,
27/2/2011,$6584.83,
28/2/2011,$6770.97,
1/3/2011,$6267.03,
2/3/2011,$6330.59,
3/3/2011,$6843.61,
4/3/2011,$6616.61,
5/3/2011,$6616.61,
6/3/2011,$6616.61,
7/3/2011,$6380.53,
8/3/2011,$6641.58,
9/3/2011,$6598.45,
10/3/2011,$6282.92,
11/3/2011,$6582.56,
12/3/2011,$6582.56,
13/3/2011,$6582.56,
14/3/2011,$6389.61,
15/3/2011,$6389.61,
16/3/2011,$6389.61,
17/3/2011,$6389.61,
18/3/2011,$6389.61,
19/3/2011,$6389.61,
20/3/2011,$6389.61,
21/3/2011,$6389.61,
