,SPY,Salary,
1/1/2010,
2/1/2010,
3/1/2010,
4/1/2010,$0,
5/1/2010,$0,
6/1/2010,$0,
7/1/2010,$0,
8/1/2010,$0,
9/1/2010,$0,
10/1/2010,$0,
11/1/2010,$0,
12/1/2010,$0,
13/1/2010,$0,
14/1/2010,$0,
15/1/2010,$0,
16/1/2010,$0,
17/1/2010,$0,
18/1/2010,$0,
19/1/2010,$0,
20/1/2010,$0,
21/1/2010,$0,
22/1/2010,$0,
23/1/2010,$0,
24/1/2010,$0,
25/1/2010,$0,
26/1/2010,$0,
27/1/2010,$0,
28/1/2010,$0,
29/1/2010,$0,
30/1/2010,$0,
31/1/2010,$0,
1/2/2010,$0,
2/2/2010,$0,
3/2/2010,$0,
4/2/2010,$0,
5/2/2010,$0,
6/2/2010,$0,
7/2/2010,$0,
8/2/2010,$0,
9/2/2010,$0,
10/2/2010,$0,
11/2/2010,$0,
12/2/2010,$0,
13/2/2010,$0,
14/2/2010,$0,
15/2/2010,$0,
16/2/2010,$0,
17/2/2010,$0,
18/2/2010,$0,
19/2/2010,$0,
20/2/2010,$0,
21/2/2010,$0,
22/2/2010,$0,
23/2/2010,$0,
24/2/2010,$0,
25/2/2010,$0,
26/2/2010,$0,
27/2/2010,$0,
28/2/2010,$0,
1/3/2010,$0,
2/3/2010,$0,
3/3/2010,$0,
4/3/2010,$0,
5/3/2010,$0,
6/3/2010,$0,
7/3/2010,$0,
8/3/2010,$0,
9/3/2010,$0,
10/3/2010,$0,
11/3/2010,$0,
12/3/2010,$0,
13/3/2010,$0,
14/3/2010,$0,
15/3/2010,$0,
16/3/2010,$0,
17/3/2010,$0,
18/3/2010,$0,
19/3/2010,$103.68,
20/3/2010,$103.68,
21/3/2010,$103.68,
22/3/2010,$103.68,
23/3/2010,$103.68,
24/3/2010,$103.68,
25/3/2010,$103.68,
26/3/2010,$103.68,
27/3/2010,$103.68,
28/3/2010,$103.68,
29/3/2010,$103.68,
30/3/2010,$103.68,
31/3/2010,$103.68,
1/4/2010,$103.68,
2/4/2010,$103.68,
3/4/2010,$103.68,
4/4/2010,$103.68,
5/4/2010,$103.68,
6/4/2010,$103.68,
7/4/2010,$103.68,
8/4/2010,$103.68,
9/4/2010,$103.68,
10/4/2010,$103.68,
11/4/2010,$103.68,
12/4/2010,$103.68,
13/4/2010,$103.68,
14/4/2010,$103.68,
15/4/2010,$103.68,
16/4/2010,$103.68,
17/4/2010,$103.68,
18/4/2010,$103.68,
19/4/2010,$103.68,
20/4/2010,$103.68,
21/4/2010,$103.68,
22/4/2010,$103.68,
23/4/2010,$103.68,
24/4/2010,$103.68,
25/4/2010,$103.68,
26/4/2010,$103.68,
27/4/2010,$103.68,
28/4/2010,$103.68,
29/4/2010,$103.68,
30/4/2010,$103.68,
1/5/2010,$103.68,
2/5/2010,$103.68,
3/5/2010,$103.68,
4/5/2010,$103.68,
5/5/2010,$103.68,
6/5/2010,$103.68,
7/5/2010,$103.68,
8/5/2010,$103.68,
9/5/2010,$103.68,
10/5/2010,$103.68,
11/5/2010,$103.68,
12/5/2010,$103.68,
13/5/2010,$103.68,
14/5/2010,$103.68,
15/5/2010,$103.68,
16/5/2010,$103.68,
17/5/2010,$103.68,
18/5/2010,$103.68,
19/5/2010,$103.68,
20/5/2010,$103.68,
21/5/2010,$103.68,
22/5/2010,$103.68,
23/5/2010,$103.68,
24/5/2010,$103.68,
25/5/2010,$103.68,
26/5/2010,$103.68,
27/5/2010,$103.68,
28/5/2010,$103.68,
29/5/2010,$103.68,
