,SPY,Cash,
1/1/2010,1,
2/1/2010,1,
3/1/2010,1,
4/1/2010,0,0.00213619,
5/1/2010,0,0.00213056,
6/1/2010,0,0.00212907,
7/1/2010,0,0.00212014,
8/1/2010,0,0.00211312,
9/1/2010,0,0.00211312,
10/1/2010,0,0.00211312,
11/1/2010,0,0.00211018,
12/1/2010,0,0.00213,
13/1/2010,0,0.0021122,
14/1/2010,0,0.00210651,
15/1/2010,0,0.00213037,
16/1/2010,0,0.00213037,
17/1/2010,0,0.00213037,
18/1/2010,0,0.00213037,
19/1/2010,0,0.00210414,
20/1/2010,0,0.00212571,
21/1/2010,0,0.00216729,
22/1/2010,0,0.0022166,
23/1/2010,0,0.0022166,
24/1/2010,0,0.0022166,
25/1/2010,0,0.00220532,
26/1/2010,1,1,
27/1/2010,1,1,
28/1/2010,1,1,
29/1/2010,1,1,
30/1/2010,1,1,
31/1/2010,1,1,
1/2/2010,1,1,
2/2/2010,1,1,
3/2/2010,1,1,
4/2/2010,1,1,
5/2/2010,1,1,
6/2/2010,1,1,
7/2/2010,1,1,
8/2/2010,1,1,
9/2/2010,1,1,
10/2/2010,1,1,
11/2/2010,1,1,
12/2/2010,1,1,
13/2/2010,1,1,
14/2/2010,1,1,
15/2/2010,1,1,
16/2/2010,1,1,
17/2/2010,1,1,
18/2/2010,1,1,
19/2/2010,1,1,
20/2/2010,1,1,
21/2/2010,1,1,
22/2/2010,1,1,
23/2/2010,1,1,
24/2/2010,1,1,
25/2/2010,1,1,
26/2/2010,1,1,
27/2/2010,1,1,
28/2/2010,1,1,
1/3/2010,1,1,
2/3/2010,0,0.00228154,
3/3/2010,0,0.00227951,
4/3/2010,0,0.00227265,
5/3/2010,0,0.00224069,
6/3/2010,0,0.00224069,
7/3/2010,0,0.00224069,
8/3/2010,0,0.0022403,
9/3/2010,0,0.00223659,
10/3/2010,0,0.00222669,
11/3/2010,0,0.00221745,
12/3/2010,0,0.00221726,
13/3/2010,0,0.00221726,
14/3/2010,0,0.00221726,
15/3/2010,0,0.00221669,
16/3/2010,0,0.00219921,
17/3/2010,0,0.00218628,
18/3/2010,0,0.0021874,
19/3/2010,0,0.00631133,
20/3/2010,0,0.00631133,
21/3/2010,0,0.00631133,
22/3/2010,0,0.00627798,
23/3/2010,0,0.00623441,
