,SPY,Cash,
1/1/2010,$25000.00,
2/1/2010,$25000.00,
3/1/2010,$25000.00,
4/1/2010,$25159.26,$53.86,
5/1/2010,$25225.86,$53.86,
6/1/2010,$25243.62,$53.86,
7/1/2010,$25350.18,$53.86,
8/1/2010,$25434.54,$53.86,
9/1/2010,$25434.54,$53.86,
10/1/2010,$25434.54,$53.86,
11/1/2010,$25470.06,$53.86,
12/1/2010,$25232.52,$53.86,
13/1/2010,$25445.64,$53.86,
14/1/2010,$25514.46,$53.86,
15/1/2010,$25228.08,$53.86,
16/1/2010,$25228.08,$53.86,
17/1/2010,$25228.08,$53.86,
18/1/2010,$25228.08,$53.86,
19/1/2010,$25543.32,$53.86,
20/1/2010,$25283.58,$53.86,
21/1/2010,$24797.40,$53.86,
22/1/2010,$24244.62,$53.86,
23/1/2010,$24244.62,$53.86,
24/1/2010,$24244.62,$53.86,
25/1/2010,$24368.94,$53.86,
26/1/2010,$0,$24327.34,
27/1/2010,$0,$24327.34,
28/1/2010,$0,$24327.34,
29/1/2010,$0,$24327.34,
30/1/2010,$0,$24327.34,
31/1/2010,$0,$24327.34,
1/2/2010,$0,$24327.34,
2/2/2010,$0,$24327.34,
3/2/2010,$0,$24327.34,
4/2/2010,$0,$24327.34,
5/2/2010,$0,$24327.34,
6/2/2010,$0,$24327.34,
7/2/2010,$0,$24327.34,
8/2/2010,$0,$24327.34,
9/2/2010,$0,$24327.34,
10/2/2010,$0,$24327.34,
11/2/2010,$0,$24327.34,
12/2/2010,$0,$24327.34,
13/2/2010,$0,$24327.34,
14/2/2010,$0,$24327.34,
15/2/2010,$0,$24327.34,
16/2/2010,$0,$24327.34,
17/2/2010,$0,$24327.34,
18/2/2010,$0,$24327.34,
19/2/2010,$0,$24327.34,
20/2/2010,$0,$24327.34,
21/2/2010,$0,$24327.34,
22/2/2010,$0,$24327.34,
23/2/2010,$0,$24327.34,
24/2/2010,$0,$24327.34,
25/2/2010,$0,$24327.34,
26/2/2010,$0,$24327.34,
27/2/2010,$0,$24327.34,
28/2/2010,$0,$24327.34,
1/3/2010,$0,$24327.34,
2/3/2010,$24235.20,$55.42,
3/3/2010,$24256.80,$55.42,
4/3/2010,$24330.24,$55.42,
5/3/2010,$24678.00,$55.42,
6/3/2010,$24678.00,$55.42,
7/3/2010,$24678.00,$55.42,
8/3/2010,$24682.32,$55.42,
9/3/2010,$24723.36,$55.42,
10/3/2010,$24833.52,$55.42,
11/3/2010,$24937.20,$55.42,
12/3/2010,$24939.36,$55.42,
